50帧频道,#genre#
山东教育,http://111.225.94.14:33333/hls/48/index.m3u8
山东教育,http://111.225.94.238:33333/hls/48/index.m3u8
石家庄新闻综合,http://123.183.76.21:808/hls/23/index.m3u8
望都电视台,http://111.225.94.110:33333/hls/69/index.m3u8
望都电视台,http://111.225.94.14:33333/hls/69/index.m3u8
望都电视台,http://111.225.94.238:33333/hls/69/index.m3u8
新闻,http://61.52.157.201:808/hls/22/index.m3u8
新闻综合,http://61.52.157.201:808/hls/84/index.m3u8
信阳综合,http://171.13.119.47:808/hls/100/index.m3u8
信阳综合,http://222.89.28.102:808/hls/100/index.m3u8
永年新闻综合,http://121.24.98.5:8090/hls/62/index.m3u8
涿州电视台,http://111.225.94.110:33333/hls/76/index.m3u8
涿州电视台,http://111.225.94.14:33333/hls/76/index.m3u8
涿州电视台,http://111.225.94.238:33333/hls/76/index.m3u8
CCTV1,http://111.225.94.14:33333/hls/1/index.m3u8
CCTV1,http://111.225.94.110:33333/hls/1/index.m3u8
CCTV1,http://111.225.94.238:33333/hls/1/index.m3u8
CCTV1,http://123.183.76.21:808/hls/1/index.m3u8
CCTV1,http://121.24.98.5:8090/hls/9/index.m3u8
CCTV1,http://123.11.144.185:22222/hls/1/index.m3u8
CCTV1,http://171.13.119.47:808/hls/40/index.m3u8
CCTV1,http://222.89.28.102:808/hls/40/index.m3u8
CCTV1,http://61.52.157.201:808/hls/1/index.m3u8
CCTV1,http://61.52.157.201:808/hls/25/index.m3u8
CCTV2,http://111.225.94.14:33333/hls/2/index.m3u8
CCTV2,http://111.225.94.110:33333/hls/2/index.m3u8
CCTV2,http://111.225.94.238:33333/hls/2/index.m3u8
CCTV2,http://123.183.76.21:808/hls/2/index.m3u8
CCTV2,http://121.24.98.5:8090/hls/10/index.m3u8
CCTV2财经,http://171.13.119.47:808/hls/2/index.m3u8
CCTV2,http://123.11.144.185:22222/hls/2/index.m3u8
CCTV2财经,http://222.89.28.102:808/hls/2/index.m3u8
CCTV2,http://61.52.157.201:808/hls/2/index.m3u8
CCTV3,http://111.225.94.14:33333/hls/3/index.m3u8
CCTV3,http://111.225.94.110:33333/hls/3/index.m3u8
CCTV3,http://111.225.94.238:33333/hls/3/index.m3u8
CCTV3,http://123.183.76.21:808/hls/75/index.m3u8
CCTV3,http://121.24.98.5:8090/hls/11/index.m3u8
CCTV3综艺,http://171.13.119.47:808/hls/3/index.m3u8
CCTV3,http://123.11.144.185:22222/hls/3/index.m3u8
CCTV3综艺,http://222.89.28.102:808/hls/3/index.m3u8
CCTV3,http://61.52.157.201:808/hls/3/index.m3u8
CCTV4,http://111.225.94.14:33333/hls/4/index.m3u8
CCTV4,http://111.225.94.110:33333/hls/4/index.m3u8
CCTV4,http://111.225.94.238:33333/hls/4/index.m3u8
CCTV4,http://123.183.76.21:808/hls/4/index.m3u8
CCTV4,http://121.24.98.5:8090/hls/12/index.m3u8
CCTV4,http://123.11.144.185:22222/hls/4/index.m3u8
CCTV4中文国际,http://171.13.119.47:808/hls/4/index.m3u8
CCTV4中文国际,http://222.89.28.102:808/hls/4/index.m3u8
CCTV4,http://61.52.157.201:808/hls/4/index.m3u8
CCTV5,http://111.225.94.14:33333/hls/5/index.m3u8
CCTV5+,http://111.225.94.14:33333/hls/17/index.m3u8
CCTV5+,http://111.225.94.110:33333/hls/17/index.m3u8
CCTV5,http://111.225.94.110:33333/hls/5/index.m3u8
CCTV5+,http://111.225.94.238:33333/hls/17/index.m3u8
CCTV5,http://111.225.94.238:33333/hls/5/index.m3u8
CCTV5,http://123.183.76.21:808/hls/78/index.m3u8
CCTV5,http://121.24.98.5:8090/hls/13/index.m3u8
CCTV5+,http://123.183.76.21:808/hls/61/index.m3u8
CCTV5,http://123.11.144.185:22222/hls/5/index.m3u8
CCTV5体育,http://171.13.119.47:808/hls/5/index.m3u8
CCTV5+,http://171.13.119.47:808/hls/18/index.m3u8
CCTV5+,http://222.89.28.102:808/hls/18/index.m3u8
CCTV5体育,http://222.89.28.102:808/hls/5/index.m3u8
CCTV5,http://61.52.157.201:808/hls/5/index.m3u8
CCTV6,http://111.225.94.14:33333/hls/6/index.m3u8
CCTV6,http://111.225.94.110:33333/hls/6/index.m3u8
CCTV6,http://111.225.94.238:33333/hls/6/index.m3u8
CCTV6,http://123.183.76.21:808/hls/76/index.m3u8
CCTV6,http://121.24.98.5:8090/hls/14/index.m3u8
CCTV6,http://123.11.144.185:22222/hls/6/index.m3u8
CCTV6,http://61.52.157.201:808/hls/6/index.m3u8
CCTV7,http://111.225.94.14:33333/hls/7/index.m3u8
